کد محصول,شناسه دسته بندی,دسته بندی,جزئیات محصول ( دسته بندی ),واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,درجه شمارش,ضریب محصول,قیمت پایه محصول,موجودی محصول
rahsakht-1011055001001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011055001003,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: گلستان",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011055001004,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: ابهر",کیلوگرم,طاقه,1,3,1,2000,309091,3351.6
rahsakht-1011055001005,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: امیر آباد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011055001006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011055001011,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: کرمان",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011055002002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: RST34، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055002003,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: RST34، تولید کننده: گلستان",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055002004,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: RST34، تولید کننده: ابهر",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055002005,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: RST34، تولید کننده: امیر آباد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055002006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: RST34، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055003002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1008، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055003011,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1008، تولید کننده: ذوب آهن",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055012001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1008، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,327273,50
rahsakht-1011055012006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1008، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,327273,0
