کد کالا,نام گروه کالایی,قیمت پایه,ضریب محصول,واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,وزن (g),تعداد پل
3109040031001,رابیتس,27000,10,برگ,بسته 10 برگی,1,100,1,1000,400,9
3109065031001,رابیتس,35000,10,برگ,بسته 10 برگی,1,100,1,1000,650,9
3109070031001,رابیتس,37000,10,برگ,بسته 10 برگی,1,50,1,500,700,9
3109080031001,رابیتس,41000,10,برگ,بسته 10 برگی,1,50,1,500,800,9
3109086031001,رابیتس,43500,10,برگ,بسته 10 برگی,1,100,1,500,860,9
3109090031001,رابیتس,45500,10,برگ,بسته 10 برگی,1,50,1,500,900,9
3113050031001,رابیتس,33000,10,برگ,بسته 10 برگی,1,50,1,500,500,13
3113060031001,رابیتس,36500,10,برگ,بسته 10 برگی,1,50,1,0,600,13
3113070031001,رابیتس,38500,10,برگ,بسته 10 برگی,1,50,1,500,700,13
3113080031001,رابیتس,42000,10,برگ,بسته 10 برگی,1,100,1,500,800,13
3113086031001,رابیتس,44000,10,برگ,بسته 10 برگی,1,100,1,1000,860,13
3113090031001,رابیتس,46500,10,برگ,بسته 10 برگی,1,50,1,0,900,13
3113100031001,رابیتس,51500,10,برگ,بسته 10 برگی,1,50,1,500,1000,13
