کد کالا,نام گروه کالایی,"قیمت پایه
 ( kg )","ضریب
 فروش",واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,نوع مش جوشی,سایز چشمه,سایز مفتول (mm),"وزن هز
مترمربع (kg)"
150200060600000,مش جوشی,44500,2.5,کیلوگرم,برگ,1,300,1,1000,ساده,5 * 5,2,1.2
150300060600000,مش جوشی,42000,4,کیلوگرم,برگ,1,200,1,1000,ساده,6 * 6,3,2
150300101000000,مش جوشی,42000,2.5,کیلوگرم,برگ,1,200,1,1000,ساده,10*10,3,1.2
150300151500000,مش جوشی,42500,1.8,کیلوگرم,برگ,1,300,1,1000,ساده,15*15,3,0.9
150400060600000,مش جوشی,40500,6.5,کیلوگرم,برگ,1,100,1,1000,ساده,6*6,4,3.3
150400101000000,مش جوشی,40500,4,کیلوگرم,برگ,1,200,1,1000,ساده,10*10,4,2
150600101000000,مش جوشی,36500,54,کیلوگرم,برگ,1,50,1,1000,ساده,10 * 10,6,4.5
150650101000001,مش جوشی,36500,66,کیلوگرم,برگ,1,50,1,1000,ساده,10 * 10,6.5,5.5
150600151500000,مش جوشی,36500,36,کیلوگرم,برگ,1,50,1,1000,ساده,15 * 15,6,3
150650151500001,مش جوشی,36500,45,کیلوگرم,برگ,1,50,1,1000,ساده,15*15,6.5,3.7
150600202000000,مش جوشی,37000,28,کیلوگرم,برگ,1,50,1,1000,ساده,20*20,6,2.3
150801101000001,مش جوشی,35000,100,کیلوگرم,برگ,1,50,1,1000,آجدار,10 * 10,8,8
150801151500001,مش جوشی,35000,65,کیلوگرم,برگ,1,50,1,1000,آجدار,15*15,8,5.2
