کد کالا,نام گروه کالایی,"قیمت پایه
 ( kg )","ضریب
 فروش",واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,نوع مشبک,سایز چشمه,سایز مفتول  (mm),"وزن هز
مترمربع (kg)"
133220371200000,مشبک,36500,12,کیلوگرم,برگ,1,80,1,80,سنگین,2*2,3.7,6.2-6.4
133330471200000,مشبک,36500,16,کیلوگرم,برگ,1,60,1,60,سنگین,3*3,4.7,8.3-8.4
133440371200000,مشبک,36500,8,کیلوگرم,برگ,1,120,1,125,سنگین,4*4,3.7,4-4.2
133550471200000,مشبک,36500,10,کیلوگرم,برگ,1,90,1,90,سنگین,5*5,4.7,5.2-5.4
132220321200000,مشبک,37500,10,کیلوگرم,برگ,1,100,1,100,سبک,2*2,3.2,5-5.2
132330421200000,مشبک,37500,12.5,کیلوگرم,برگ,1,80,1,40,سبک,3*3,4.2,5.6-6
132440321200000,مشبک,37500,7,کیلوگرم,برگ,1,140,1,142,سبک,4*4,3.2,3.6-3.8
131220301200000,مشبک,38500,9,کیلوگرم,برگ,1,50,1,53,فوق سبک,2*2,3,4.2-4.4
131440301200000,مشبک,39000,5.5,کیلوگرم,برگ,1,90,1,0,فوق سبک,4*4,3,2.5-2.7
14010060001020001,مشبک,49500,25,کیلوگرم,برگ,1,20,1,40,فولادی,06,-,12.8 - 13
14010080001020001,مشبک,49000,25,کیلوگرم,برگ,1,20,1,40,فولادی,08,-,12.8 - 13
14010100001020001,مشبک,47500,25,کیلوگرم,برگ,1,20,1,40,فولادی,010,-,11.5 - 12
14010120001020001,مشبک,47500,25,کیلوگرم,برگ,1,20,1,40,فولادی,012,-,11.5 - 12
14010150001020001,مشبک,47500,25,کیلوگرم,برگ,1,20,1,40,فولادی,015,-,11.5 - 12
14010200001020001,مشبک,47500,25,کیلوگرم,برگ,1,20,1,20,فولادی,020,-,11 - 11.5
14010250001020001,مشبک,47500,25,کیلوگرم,برگ,1,20,1,20,فولادی,025,-,11 - 11.5
14010300001020001,مشبک,47500,25,کیلوگرم,برگ,1,20,1,20,فولادی,030,-,11 - 11.5
