کد کالا,نام گروه کالایی,قیمت پایه,ضریب,واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,نوع ورق پانچ,ابعاد (m),چشمه (mm),ضخامت (mm)
75011020008006,ورق پانچ,780000,1,برگ,برگ,1,50,1,20,پانچ آهن,1*2,06,0.8
75011020010006,ورق پانچ,900000,1,برگ,برگ,1,50,1,20,پانچ آهن,1*2,06,1
7501102001008,ورق پانچ,900000,1,برگ,برگ,1,20,1,20,پانچ آهن,1*2,08,1
7501102001010,ورق پانچ,900000,1,برگ,برگ,1,20,1,20,پانچ آهن,1*2,010,1
750110200150006,ورق پانچ,1350000,1,برگ,برگ,1,50,1,20,پانچ آهن,1*2,06,1.5
7501102001508,ورق پانچ,1350000,1,برگ,برگ,1,20,1,20,پانچ آهن,1*2,08,1.5
75011020015010,ورق پانچ,1350000,1,برگ,برگ,1,20,1,20,پانچ آهن,1*2,010,1.5
75011020020006,ورق پانچ,1620000,1,برگ,برگ,1,50,1,20,پانچ آهن,1*2,06,2
75011020020008,ورق پانچ,1620000,1,برگ,برگ,1,20,1,20,پانچ آهن,1*2,08,2
75011020020010,ورق پانچ,1620000,1,برگ,برگ,1,20,1,20,پانچ آهن,1*2,010,2
7501122501006,ورق پانچ,1540000,1,برگ,برگ,1,50,1,20,پانچ آهن بلند,1.25*2.5,06,1
7501122501506,ورق پانچ,2480000,1,برگ,برگ,1,50,1,20,پانچ آهن بلند,1.25*2.5,06,1.5
7501122502006,ورق پانچ,2700000,1,برگ,برگ,1,50,1,20,پانچ آهن بلند,1.25*2.5,06,2
75011020010625,ورق پانچ,2000000,1,برگ,برگ,1,20,1,20,پانچ چاکدار,1*2,*,1
75011020010606,ورق پانچ,1380000,1,برگ,برگ,1,20,1,20,پانچ طرحدار,1*2,*,1
75021020010006,ورق پانچ,1080000,1,برگ,برگ,1,20,1,20,پانچ گالوانیزه,1*2,06,1
75021020010008,ورق پانچ,1080000,1,برگ,برگ,1,20,1,20,پانچ گالوانیزه,1*2,08,1
