کد کالا,نام گروه کالایی,قیمت پایه,ضریب محصول,واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,نوع کلاف,سایز مفتول (mm),گرید,تولید کننده
1011055001001,کلاف مفتول,32000,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,3SP,یزد
1011055001003,کلاف مفتول,34000,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,3SP,گلستان
1011055001004,کلاف مفتول,35000,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,3SP,ابهر
1011055001005,کلاف مفتول,32000,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,3SP,امیر آباد
1011055001006,کلاف مفتول,33500,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,3SP,بستان آباد
1011055001011,کلاف مفتول,34500,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,3SP,کرمان
1011055002002,کلاف مفتول,34500,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,RST34,بافق
1011055002003,کلاف مفتول,34500,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,RST34,گلستان
1011055002004,کلاف مفتول,34500,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,RST34,ابهر
1011055002005,کلاف مفتول,34500,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,RST34,امیر آباد
1011055002006,کلاف مفتول,34500,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,RST34,بستان آباد
1011055003002,کلاف مفتول,34500,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,1008,بافق
1011055003011,کلاف مفتول,34500,2000,کیلوگرم,طاقه,1,3,1,6000,کلاف مفتول,5.5,1008,ذوب آهن
